IMDB_title_ID,Original_title,Release_Year,Duration,Country,Content_Rating,Income,Votes,Score,Genre,Director
111161,The Shawshank Redemption,2/10/1995,142,USA,R,28815245,2278845,9.3,Drama,Frank Darabont
68646,The Godfather,9/21/1972,175,USA,R,246120974,1572674,9.2,Crime,Francis Ford Coppola
468569,The Dark Knight,7/23/2008,152,USA,PG-13,1005455211,2241615,9,Action,Christopher Nolan
71562,The Godfather: Part II,9/25/1975,220,USA,R,408035783,1098714,9,Crime,Francis Ford Coppola
110912,Pulp Fiction,10/28/1994,,USA,R,222831817,1780147,8.9,Crime,Quentin Tarantino
167260,The Lord of the Rings: The Return of the King,2/22/2004,201,New Zealand,PG-13,1142271098,1604280,8.9,Action,Peter Jackson
108052,Schindler's List,3/11/1994,,USA,R,322287794,1183248,8.9,Biography,Steven Spielberg
50083,12 Angry Men,9/4/1957,96,USA,Not Rated,576,668473,8.9,Crime,Sidney Lumet
1375666,Inception,9/24/2010,148,USA,PG-13,869784991,2002816,8.8,Action,Christopher Nolan
137523,Fight Club,10/29/1999,,UK,R,101218804,1807440,8.8,Drama,David Fincher
109830,Forrest Gump,10/6/1994,142,USA,PG-13,678229452,1755490,8.8,Drama,Robert Zemeckis
120737,The Lord of the Rings: The Fellowship of the Ring,1/18/2002,178,New Zealand,PG-13,887934303,1619920,8.8,Action,Peter Jackson
60196,"Il buono, il brutto, il cattivo",12/23/1966,161,Italy,NC-17,25252481,672499,8.8,Western,Sergio Leone
133093,The Matrix,5/7/1999,,USA,R,465718588,1632315,8.7,Action,Lana Wachowski
167261,The Lord of the Rings: The Two Towers,1/16/2003,179,New Zealand,PG-13,951227416,1449778,8.7,Action,Peter Jackson
80684,Star Wars: Episode V - The Empire Strikes Back,9/19/1980,,USA,PG,549265501,1132073,8.7,Action,Irvin Kershner
99685,Goodfellas,9/20/1990,146,USA,R,46879633,991505,8.7,Biography,Martin Scorsese
73486,One Flew Over the Cuckoo's Nest,11/18/1976,,USA,R,108997629,891071,8.7,Drama,Milos Forman
816692,Interstellar,11/6/2014,169,USA,PG-13,696742056,1449256,8.6,Adventure,Christopher Nolan
114369,Se7en,12/15/1995,127,USA,R,327333559,1402015,8.6,Crime,David Fincher
102926,The Silence of the Lambs,3/5/1991,118,USA,R,272753884,1234134,8.6,Crime,Jonathan Demme
76759,Star Wars,10/20/1977,121,USA,PG,775768912,1204107,8.6,Action,George Lucas
120815,Saving Private Ryan,10/30/1998,169,USA,R,482349603,1203825,8.6,Drama,Steven Spielberg
120689,The Green Mile,10/3/2000,189,USA,R,286801374,1112336,8.6,Crime,Frank Darabont
317248,Cidade de Deus,5/9/2003,130,Brazil,R,30680793,685856,8.6,Crime,Fernando Meirelles
245429,Sen to Chihiro no kamikakushi,4/18/2003,125,Japan,PG,355467056,626693,8.6,Animation,Hayao Miyazaki
118799,La vita B9 bella,12/20/1997,116,Italy,Not Rated,230098753,605648,8.6,Comedy,Roberto Benigni
6751668,Gisaengchung,11/7/2019,132,South Korea,Not Rated,257604912,470931,8.6,Comedy,Bong Joon Ho
38650,It's a Wonderful Life,3/11/1948,130,USA,PG,6130720,388310,8.6,Drama,Frank Capra
47478,Shichinin no samurai,8/19/1955,207,Japan,Not Rated,322773,307958,8.6,Action,Akira Kurosawa
172495,Gladiator,5/19/2000,155,USA,R,465361176,1308193,8.5,Action,Ridley Scott
407887,The Departed,10/27/2006,151,USA,R,291465034,1159703,8.5,Crime,Martin Scorsese
482571,The Prestige,12/22/2006,130,UK,PG-13,109676311,1155723,8.5,Drama,Christopher Nolan
88763,Back to the Future,10/18/1985,116,USA,PG,388774684,1027330,8.5,Adventure,Robert Zemeckis
120586,American History X,8/27/1999,119,USA,R,23875127,1014218,8.5,Drama,Tony Kaye
